full date,Country_Region,population,total,one_shot,one_shot_perc,two_shots,two_shots_perc,three_shots,three_shots_perc
2020-03-22,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
