full date,Country_Region,Confirmed,Recovered,Deaths,Case_Fatality_Ratio,Active,Incident_Rate,confirmed_1d,deaths_1d,confirmed_moving_avg_7d,deaths_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,deaths_moving_avg_7d_rate_14d
2020-03-23,Canada,3297.0,0.0,29.0,0.008795875037913254,3268.0,0.03297,,,,,,
2020-03-24,Canada,3996.0,110.0,34.0,0.00850850850850851,3852.0,0.03996,699.0,5.0,,,,
2020-03-25,Canada,4569.0,183.0,47.0,0.010286714817246662,4339.0,0.04569,573.0,13.0,,,,
2020-03-26,Canada,5511.0,184.0,59.0,0.010705861005262203,5268.0,0.05511,942.0,12.0,,,,
2020-03-27,Canada,6380.0,256.0,66.0,0.010344827586206896,6058.0,0.0638,869.0,7.0,,,,
2020-03-31,Canada,10711.0,1592.0,152.0,0.014191018579030903,8967.0,0.10711,4331.0,86.0,,,,
2020-04-01,Canada,12023.0,1324.0,175.0,0.014555435415453713,10524.0,0.12023,1312.0,23.0,,,,
2020-04-03,Canada,15074.0,2175.0,277.0,0.01837601167573305,12622.0,0.15074,3051.0,102.0,1682.4285714285713,35.42857142857143,,
2020-04-05,Canada,17599.0,3012.0,435.0,0.024717313483720665,14152.0,0.17599,2525.0,158.0,1943.2857142857142,57.285714285714285,,
2020-04-07,Canada,20488.0,3791.0,581.0,0.028358063256540413,16116.0,0.20488,2889.0,146.0,2274.1428571428573,76.28571428571429,,
2020-04-08,Canada,21724.0,4154.0,670.0,0.03084146566009943,16900.0,0.21724,1236.0,89.0,2316.1428571428573,87.28571428571429,,
2020-04-09,Canada,23104.0,5162.0,773.0,0.03345740997229917,17169.0,0.23104,1380.0,103.0,2389.1428571428573,101.0,,
2020-04-10,Canada,24248.0,5855.0,867.0,0.03575552622896734,17526.0,0.24248,1144.0,94.0,1933.857142857143,102.14285714285714,,
2020-04-11,Canada,25624.0,6589.0,986.0,0.03847955042147986,18049.0,0.25624,1376.0,119.0,1943.0,115.85714285714286,,
2020-04-12,Canada,26966.0,7123.0,1094.0,0.04056960617073352,18749.0,0.26966,1342.0,108.0,1698.857142857143,116.71428571428571,,
2020-04-13,Canada,28763.0,7758.0,1224.0,0.04255467093140493,19781.0,0.28763,1797.0,130.0,1594.857142857143,112.71428571428571,,
2020-04-14,Canada,30452.0,8210.0,1360.0,0.04466044923157757,20882.0,0.30452,1689.0,136.0,1423.4285714285713,111.28571428571429,,
2020-04-15,Canada,32199.0,8966.0,1514.0,0.047020093791732664,21719.0,0.32199,1747.0,154.0,1496.4285714285713,120.57142857142857,,
2020-04-16,Canada,33965.0,9698.0,1650.0,0.048579419991167376,22617.0,0.33965,1766.0,136.0,1551.5714285714287,125.28571428571429,,
2020-04-17,Canada,36091.0,10545.0,1797.0,0.04979080657227564,23749.0,0.36091,2126.0,147.0,1691.857142857143,132.85714285714286,,
2020-04-18,Canada,37617.0,10964.0,1936.0,0.05146609245819709,24717.0,0.37617,1526.0,139.0,1713.2857142857142,135.71428571428572,,
2020-04-19,Canada,39317.0,11847.0,2106.0,0.05356461581504184,25364.0,0.39317,1700.0,170.0,1764.4285714285713,144.57142857142858,0.04873906767428049,3.080645161290323
2020-04-20,Canada,41029.0,12543.0,2250.0,0.054839260035584585,26236.0,0.41029,1712.0,144.0,1752.2857142857142,146.57142857142858,-0.09828714254208626,1.5586034912718207
2020-04-21,Canada,42619.0,13188.0,2411.0,0.05657101292850607,27020.0,0.42619,1590.0,161.0,1738.142857142857,150.14285714285714,-0.23569319680884482,0.9681647940074904
2020-04-22,Canada,44452.0,14454.0,2575.0,0.05792765229910915,27423.0,0.44452,1833.0,164.0,1750.4285714285713,151.57142857142858,-0.244248442607784,0.7364975450081834
2020-04-24,Canada,46261.0,14761.0,2757.0,0.059596636475649035,28743.0,0.46261,1809.0,182.0,1756.5714285714287,158.14285714285714,-0.2647691939727338,0.5657708628005658
2020-04-25,Canada,47051.0,15149.0,2915.0,0.061954049860789354,28987.0,0.47051,790.0,158.0,1565.7142857142858,159.71428571428572,-0.19036714190736503,0.5636363636363637
2020-04-26,Canada,48618.0,16013.0,3090.0,0.06355670739232383,29515.0,0.48618,1567.0,175.0,1571.5714285714287,164.85714285714286,-0.19116241452834348,0.4229346485819976
2020-04-27,Canada,49821.0,16883.0,3225.0,0.06473173962786777,29713.0,0.49821,1203.0,135.0,1500.5714285714287,159.85714285714286,-0.11671712075344765,0.3696450428396574
2020-04-28,Canada,52363.0,18268.0,3428.0,0.06546607337241946,30667.0,0.52363,2542.0,203.0,1619.142857142857,168.28571428571428,0.0152275170189895,0.4930291508238276
